REEF_SITE,TRANSECT_NO,YEAR,MONTH,SURVEY_DATE,GROWTH_FORM,BLEACH_STATUS,ABUNDANCE
HK,3,2014,SEP,21/09/14,Massive,FB,1
HK,3,2014,SEP,21/09/14,Massive,PB,43
HK,3,2014,SEP,21/09/14,Massive,H,93
HK,3,2014,SEP,21/09/14,Branching,FB,0
HK,3,2014,SEP,21/09/14,Branching,PB,24
HK,3,2014,SEP,21/09/14,Branching,H,43
HK,3,2014,SEP,21/09/14,Plate,FB,0
HK,3,2014,SEP,21/09/14,Plate,PB,0
HK,3,2014,SEP,21/09/14,Plate,H,23
HK,3,2014,SEP,21/09/14,Solitary,FB,0
HK,3,2014,SEP,21/09/14,Solitary,PB,0
HK,3,2014,SEP,21/09/14,Solitary,H,12
HS,1,2014,SEP,14/09/14,Massive,FB,1
HS,1,2014,SEP,14/09/14,Massive,PB,13
HS,1,2014,SEP,14/09/14,Massive,H,43
HS,1,2014,SEP,14/09/14,Branching,FB,0
HS,1,2014,SEP,14/09/14,Branching,PB,5
HS,1,2014,SEP,14/09/14,Branching,H,7
HS,1,2014,SEP,14/09/14,Plate,FB,0
HS,1,2014,SEP,14/09/14,Plate,PB,5
HS,1,2014,SEP,14/09/14,Plate,H,25
HS,1,2014,SEP,14/09/14,Solitary,FB,0
HS,1,2014,SEP,14/09/14,Solitary,PB,0
HS,1,2014,SEP,14/09/14,Solitary,H,0
HS,2,2014,SEP,14/09/14,Massive,FB,1
HS,2,2014,SEP,14/09/14,Massive,PB,20
HS,2,2014,SEP,14/09/14,Massive,H,42
HS,2,2014,SEP,14/09/14,Branching,FB,1
HS,2,2014,SEP,14/09/14,Branching,PB,8
HS,2,2014,SEP,14/09/14,Branching,H,4
HS,2,2014,SEP,14/09/14,Plate,FB,2
HS,2,2014,SEP,14/09/14,Plate,PB,4
HS,2,2014,SEP,14/09/14,Plate,H,24
HS,2,2014,SEP,14/09/14,Solitary,FB,0
HS,2,2014,SEP,14/09/14,Solitary,PB,0
HS,2,2014,SEP,14/09/14,Solitary,H,0
HS,3,2014,SEP,14/09/14,Massive,FB,3
HS,3,2014,SEP,14/09/14,Massive,PB,14
HS,3,2014,SEP,14/09/14,Massive,H,43
HS,3,2014,SEP,14/09/14,Branching,FB,0
HS,3,2014,SEP,14/09/14,Branching,PB,4
HS,3,2014,SEP,14/09/14,Branching,H,8
HS,3,2014,SEP,14/09/14,Plate,FB,0
HS,3,2014,SEP,14/09/14,Plate,PB,4
HS,3,2014,SEP,14/09/14,Plate,H,34
HS,3,2014,SEP,14/09/14,Solitary,FB,0
HS,3,2014,SEP,14/09/14,Solitary,PB,0
HS,3,2014,SEP,14/09/14,Solitary,H,0
HS,1,2014,SEP,28/09/14,Massive,FB,0
HS,1,2014,SEP,28/09/14,Massive,PB,11
HS,1,2014,SEP,28/09/14,Massive,H,25
HS,1,2014,SEP,28/09/14,Branching,FB,0
HS,1,2014,SEP,28/09/14,Branching,PB,1
HS,1,2014,SEP,28/09/14,Branching,H,6
HS,1,2014,SEP,28/09/14,Plate,FB,0
HS,1,2014,SEP,28/09/14,Plate,PB,0
HS,1,2014,SEP,28/09/14,Plate,H,3
HS,1,2014,SEP,28/09/14,Solitary,FB,0
HS,1,2014,SEP,28/09/14,Solitary,PB,0
HS,1,2014,SEP,28/09/14,Solitary,H,1
HS,2,2014,SEP,28/09/14,Massive,FB,0
HS,2,2014,SEP,28/09/14,Massive,PB,1
HS,2,2014,SEP,28/09/14,Massive,H,16
HS,2,2014,SEP,28/09/14,Branching,FB,0
HS,2,2014,SEP,28/09/14,Branching,PB,0
HS,2,2014,SEP,28/09/14,Branching,H,6
HS,2,2014,SEP,28/09/14,Plate,FB,0
HS,2,2014,SEP,28/09/14,Plate,PB,0
HS,2,2014,SEP,28/09/14,Plate,H,4
HS,2,2014,SEP,28/09/14,Solitary,FB,0
HS,2,2014,SEP,28/09/14,Solitary,PB,0
HS,2,2014,SEP,28/09/14,Solitary,H,1
HS,3,2014,SEP,28/09/14,Massive,FB,0
HS,3,2014,SEP,28/09/14,Massive,PB,6
HS,3,2014,SEP,28/09/14,Massive,H,20
HS,3,2014,SEP,28/09/14,Branching,FB,0
HS,3,2014,SEP,28/09/14,Branching,PB,0
HS,3,2014,SEP,28/09/14,Branching,H,8
HS,3,2014,SEP,28/09/14,Plate,FB,0
HS,3,2014,SEP,28/09/14,Plate,PB,0
HS,3,2014,SEP,28/09/14,Plate,H,7
HS,3,2014,SEP,28/09/14,Solitary,FB,0
HS,3,2014,SEP,28/09/14,Solitary,PB,1
HS,3,2014,SEP,28/09/14,Solitary,H,1
HY,1,2014,SEP,14/09/14,Massive,FB,1
HY,1,2014,SEP,14/09/14,Massive,PB,16
HY,1,2014,SEP,14/09/14,Massive,H,21
HY,1,2014,SEP,14/09/14,Branching,FB,0
HY,1,2014,SEP,14/09/14,Branching,PB,7
HY,1,2014,SEP,14/09/14,Branching,H,17
HY,1,2014,SEP,14/09/14,Plate,FB,0
HY,1,2014,SEP,14/09/14,Plate,PB,3
HY,1,2014,SEP,14/09/14,Plate,H,16
HY,1,2014,SEP,14/09/14,Solitary,FB,1
HY,1,2014,SEP,14/09/14,Solitary,PB,1
HY,1,2014,SEP,14/09/14,Solitary,H,7
HY,2,2014,SEP,14/09/14,Massive,FB,0
HY,2,2014,SEP,14/09/14,Massive,PB,18
HY,2,2014,SEP,14/09/14,Massive,H,29
HY,2,2014,SEP,14/09/14,Branching,FB,0
HY,2,2014,SEP,14/09/14,Branching,PB,7
HY,2,2014,SEP,14/09/14,Branching,H,7
HY,2,2014,SEP,14/09/14,Plate,FB,0
HY,2,2014,SEP,14/09/14,Plate,PB,5
HY,2,2014,SEP,14/09/14,Plate,H,13
HY,2,2014,SEP,14/09/14,Solitary,FB,0
HY,2,2014,SEP,14/09/14,Solitary,PB,0
HY,2,2014,SEP,14/09/14,Solitary,H,11
HY,3,2014,SEP,14/09/14,Massive,FB,2
HY,3,2014,SEP,14/09/14,Massive,PB,23
HY,3,2014,SEP,14/09/14,Massive,H,24
HY,3,2014,SEP,14/09/14,Branching,FB,0
HY,3,2014,SEP,14/09/14,Branching,PB,5
HY,3,2014,SEP,14/09/14,Branching,H,13
HY,3,2014,SEP,14/09/14,Plate,FB,2
HY,3,2014,SEP,14/09/14,Plate,PB,2
HY,3,2014,SEP,14/09/14,Plate,H,9
HY,3,2014,SEP,14/09/14,Solitary,FB,0
HY,3,2014,SEP,14/09/14,Solitary,PB,0
HY,3,2014,SEP,14/09/14,Solitary,H,0
HY,1,2014,SEP,28/09/14,Massive,FB,0
HY,1,2014,SEP,28/09/14,Massive,PB,5
HY,1,2014,SEP,28/09/14,Massive,H,25
HY,1,2014,SEP,28/09/14,Branching,FB,0
HY,1,2014,SEP,28/09/14,Branching,PB,1
HY,1,2014,SEP,28/09/14,Branching,H,4
HY,1,2014,SEP,28/09/14,Plate,FB,0
HY,1,2014,SEP,28/09/14,Plate,PB,1
HY,1,2014,SEP,28/09/14,Plate,H,6
HY,1,2014,SEP,28/09/14,Solitary,FB,0
HY,1,2014,SEP,28/09/14,Solitary,PB,0
HY,1,2014,SEP,28/09/14,Solitary,H,1
HY,2,2014,SEP,28/09/14,Massive,FB,0
HY,2,2014,SEP,28/09/14,Massive,PB,1
HY,2,2014,SEP,28/09/14,Massive,H,17
HY,2,2014,SEP,28/09/14,Branching,FB,0
HY,2,2014,SEP,28/09/14,Branching,PB,0
HY,2,2014,SEP,28/09/14,Branching,H,4
HY,2,2014,SEP,28/09/14,Plate,FB,0
HY,2,2014,SEP,28/09/14,Plate,PB,0
HY,2,2014,SEP,28/09/14,Plate,H,10
HY,2,2014,SEP,28/09/14,Solitary,FB,0
HY,2,2014,SEP,28/09/14,Solitary,PB,0
HY,2,2014,SEP,28/09/14,Solitary,H,1
HY,3,2014,SEP,28/09/14,Massive,FB,0
HY,3,2014,SEP,28/09/14,Massive,PB,8
HY,3,2014,SEP,28/09/14,Massive,H,19
HY,3,2014,SEP,28/09/14,Branching,FB,0
HY,3,2014,SEP,28/09/14,Branching,PB,0
HY,3,2014,SEP,28/09/14,Branching,H,4
HY,3,2014,SEP,28/09/14,Plate,FB,0
HY,3,2014,SEP,28/09/14,Plate,PB,1
HY,3,2014,SEP,28/09/14,Plate,H,7
HY,3,2014,SEP,28/09/14,Solitary,FB,0
HY,3,2014,SEP,28/09/14,Solitary,PB,1
HY,3,2014,SEP,28/09/14,Solitary,H,1
KM,1,2014,SEP,12/09/14,Massive,FB,2
KM,1,2014,SEP,12/09/14,Massive,PB,29
KM,1,2014,SEP,12/09/14,Massive,H,106
KM,1,2014,SEP,12/09/14,Branching,FB,0
KM,1,2014,SEP,12/09/14,Branching,PB,0
KM,1,2014,SEP,12/09/14,Branching,H,7
KM,1,2014,SEP,12/09/14,Plate,FB,1
KM,1,2014,SEP,12/09/14,Plate,PB,4
KM,1,2014,SEP,12/09/14,Plate,H,39
KM,1,2014,SEP,12/09/14,Solitary,FB,0
KM,1,2014,SEP,12/09/14,Solitary,PB,0
KM,1,2014,SEP,12/09/14,Solitary,H,11
KM,2,2014,SEP,12/09/14,Massive,FB,3
KM,2,2014,SEP,12/09/14,Massive,PB,45
KM,2,2014,SEP,12/09/14,Massive,H,81
KM,2,2014,SEP,12/09/14,Branching,FB,1
KM,2,2014,SEP,12/09/14,Branching,PB,1
KM,2,2014,SEP,12/09/14,Branching,H,17
KM,2,2014,SEP,12/09/14,Plate,FB,11
KM,2,2014,SEP,12/09/14,Plate,PB,6
KM,2,2014,SEP,12/09/14,Plate,H,25
KM,2,2014,SEP,12/09/14,Solitary,FB,0
KM,2,2014,SEP,12/09/14,Solitary,PB,0
KM,2,2014,SEP,12/09/14,Solitary,H,5
KM,3,2014,SEP,12/09/14,Massive,FB,4
KM,3,2014,SEP,12/09/14,Massive,PB,51
KM,3,2014,SEP,12/09/14,Massive,H,78
KM,3,2014,SEP,12/09/14,Branching,FB,0
KM,3,2014,SEP,12/09/14,Branching,PB,3
KM,3,2014,SEP,12/09/14,Branching,H,11
KM,3,2014,SEP,12/09/14,Plate,FB,1
KM,3,2014,SEP,12/09/14,Plate,PB,6
KM,3,2014,SEP,12/09/14,Plate,H,29
KM,3,2014,SEP,12/09/14,Solitary,FB,0
KM,3,2014,SEP,12/09/14,Solitary,PB,0
KM,3,2014,SEP,12/09/14,Solitary,H,4
MH4,1,2014,SEP,19/09/14,Massive,FB,0
MH4,1,2014,SEP,19/09/14,Massive,PB,13
MH4,1,2014,SEP,19/09/14,Massive,H,82
